term,month,posts_n
adm_prezidenta,2016-11,2
adm_prezidenta,2016-12,2
adm_prezidenta,2017-01,1
adm_prezidenta,2017-02,5
adm_prezidenta,2017-03,1
adm_prezidenta,2017-04,4
adm_prezidenta,2017-05,1
adm_prezidenta,2017-07,1
adm_prezidenta,2017-08,2
adm_prezidenta,2017-09,5
adm_prezidenta,2017-10,10
adm_prezidenta,2017-11,3
adm_prezidenta,2017-12,4
adm_prezidenta,2018-01,3
adm_prezidenta,2018-02,3
adm_prezidenta,2018-03,14
adm_prezidenta,2018-04,5
adm_prezidenta,2018-05,6
adm_prezidenta,2018-06,6
adm_prezidenta,2018-07,3
adm_prezidenta,2018-08,3
adm_prezidenta,2018-09,9
adm_prezidenta,2018-10,7
adm_prezidenta,2018-11,3
adm_prezidenta,2018-12,10
adm_prezidenta,2019-01,9
adm_prezidenta,2019-02,6
adm_prezidenta,2019-03,7
adm_prezidenta,2019-04,16
adm_prezidenta,2019-05,12
adm_prezidenta,2019-06,9
adm_prezidenta,2019-07,14
adm_prezidenta,2019-08,19
adm_prezidenta,2019-09,18
adm_prezidenta,2019-10,20
adm_prezidenta,2019-11,11
adm_prezidenta,2019-12,16
adm_prezidenta,2020-01,46
adm_prezidenta,2020-02,20
adm_prezidenta,2020-03,35
adm_prezidenta,2020-04,15
adm_prezidenta,2020-05,18
adm_prezidenta,2020-06,15
adm_prezidenta,2020-07,13
adm_prezidenta,2020-08,25
adm_prezidenta,2020-09,31
adm_prezidenta,2020-10,39
adm_prezidenta,2020-11,30
adm_prezidenta,2020-12,20
adm_prezidenta,2021-01,20
adm_prezidenta,2021-02,28
adm_prezidenta,2021-03,29
adm_prezidenta,2021-04,46
adm_prezidenta,2021-05,27
adm_prezidenta,2021-06,30
adm_prezidenta,2021-07,23
adm_prezidenta,2021-08,27
adm_prezidenta,2021-09,22
adm_prezidenta,2021-10,31
adm_prezidenta,2021-11,28
adm_prezidenta,2021-12,34
adm_prezidenta,2022-01,47
adm_prezidenta,2022-02,72
adm_prezidenta,2022-03,47
adm_prezidenta,2022-04,74
adm_prezidenta,2022-05,101
adm_prezidenta,2022-06,60
adm_prezidenta,2022-07,91
adm_prezidenta,2022-08,68
adm_prezidenta,2022-09,84
adm_prezidenta,2022-10,99
adm_prezidenta,2022-11,77
adm_prezidenta,2022-12,76
