term,posts_n
telegram_lat,54611
max_messenger,53366
telegram_cyr,38227
restrict,37544
block,33994
youtube,33878
kreml,32470
peskov,17510
shoigu,13749
medvedev,11810
ctx_platform_x_restrict,9597
slowdown,8820
sovbez,7671
messenger,7320
cenzura,6141
mishustin,5083
sovet_bezopasnosti,4780
adm_prezidenta,4481
kabmin,4124
prokuratura_gen,3819
volodin,3588
roskomnadzor,3397
whatsapp,3352
ap_abbr,2277
patrushev,2201
kirienko,2102
mincifry,1677
vpn,1563
garant,1557
rkn_abbr,1413
matvienko,1249
fas_svyaz,885
shutdown,815
runet,747
gromov,747
klishas,594
mizulina,522
shadaev,448
boyarsky,436
vaino,420
white_list,383
svintsov,339
gorelkin,293
lipov,205
zharov,204
ministerstvo_cifrovogo,164
minsvyaz,82
tspu,25
radiochastotny_centr,16
grchc,11
cmu_ssop,3
