country,count
США,19625
Украина,12455
Франция,3243
Турция,2606
Иран,1643
Сербия,1536
Польша,1451
Азербайджан,1276
Венесуэла,1149
Казахстан,949
Сирия,855
Финляндия,691
Беларусь,657
Бразилия,607
Грузия,557
Чехия,550
Литва,433
Колумбия,362
Аргентина,323
Румыния,317
Египет,300
Киргизия,278
Узбекистан,267
Армения,261
Таджикистан,251
Афганистан,248
Латвия,216
Израиль,214
Мексика,209
Германия,208
Хорватия,205
Эстония,195
Молдова,184
Куба,166
Словакия,147
Индонезия,138
Боливия,135
Китай,112
Эквадор,112
Тайвань,100
Болгария,94
Швейцария,93
Венгрия,91
Монголия,80
Гаити,75
Европейский союз,69
Туркменистан,69
Алжир,66
Нигер,66
Италия,62
Вьетнам,60
Ирак,60
Сенегал,58
Нигерия,54
Гвинея-Бисау,52
Никарагуа,52
Чили,49
Сальвадор,47
Уганда,47
Шри-Ланка,47
Буркина-Фасо,46
Лаос,42
Перу,42
Индия,41
Зимбабве,40
Мали,39
Панама,38
Австрия,37
Ливия,37
Кения,36
Республика Корея,34
Ирландия,31
Косово,31
Тунис,31
Мадагаскар,26
Габон,25
Гондурас,25
Организация Объединенных Наций,25
Гана,23
Йемен,23
КНДР,23
Сомали,23
Словения,22
Португалия,19
Руанда,19
Гайана,18
Эритрея,18
Гренландия,17
Кипр,17
Пакистан,17
Мозамбик,15
Ангола,14
Камерун,14
о-в Св. Елены,14
Черногория,13
Гватемала,12
Греция,12
Джибути,12
Канада,11
Парагвай,11
Саудовская Аравия,11
Гамбия,10
Замбия,10
Малави,10
Непал,10
Танзания,10
Уругвай,10
Эфиопия,10
Япония,10
Великобритания,9
Либерия,9
Намибия,9
Албания,8
Бельгия,8
Бурунди,8
Сьерра-Леоне,8
о-в Рождества,8
Бенин,7
Мавритания,7
Бангладеш,6
Британская территория в Индийском океане,6
Дания,6
Иордания,6
Катар,6
Южно-Африканская Республика,6
Ботсвана,5
Кабо-Верде,4
Камбоджа,4
Ливан,4
Мальта,4
Нидерланды,4
Швеция,4
Ватикан,3
Доминиканская Республика,3
Испания,3
Маврикий,3
Мальдивы,3
Палау,3
Босния и Герцеговина,2
Исландия,2
Марокко,2
Норвегия,2
Северная Македония,2
Сингапур,2
Суринам,2
Центрально-Африканская Республика,2
Австралия,1
Бахрейн,1
Вануату,1
Гонконг (САР),1
Гренада,1
Доминика,1
Западная Сахара,1
Кирибати,1
Коста-Рика,1
Кувейт,1
Лихтенштейн,1
Люксембург,1
Таиланд,1
о-в Норфолк,1
