date,posts_count
2015-12-31,1
2016-07-20,1
2016-07-21,2
2016-07-30,1
2016-08-15,1
2016-11-13,1
2016-11-15,4
2016-11-16,1
2016-11-17,3
2016-11-20,2
2016-11-21,1
2016-11-22,2
2016-11-23,6
2016-11-24,2
2016-11-25,1
2016-11-26,1
2016-11-27,1
2016-11-28,1
2016-11-29,2
2016-11-30,7
2016-12-01,2
2016-12-04,2
2016-12-05,3
2016-12-06,1
2016-12-08,1
2016-12-09,2
2016-12-11,1
2016-12-12,6
2016-12-13,1
2016-12-14,4
2016-12-15,1
2016-12-16,1
2016-12-17,3
2016-12-19,1
2016-12-21,3
2016-12-22,2
2016-12-23,2
2016-12-25,1
2016-12-27,1
2016-12-28,1
2016-12-29,5
2016-12-30,2
2017-01-04,1
2017-01-05,3
2017-01-06,3
2017-01-07,1
2017-01-10,2
2017-01-11,2
2017-01-12,6
2017-01-13,5
2017-01-14,7
2017-01-15,2
2017-01-16,4
2017-01-17,5
2017-01-18,5
2017-01-19,1
2017-01-20,5
2017-01-21,1
2017-01-22,1
2017-01-24,2
2017-01-25,4
2017-01-26,7
2017-01-27,5
2017-01-28,2
2017-01-29,6
2017-01-30,1
2017-01-31,1
2017-02-02,1
2017-02-05,5
2017-02-06,4
2017-02-07,5
2017-02-08,2
2017-02-09,8
2017-02-10,2
2017-02-11,2
2017-02-13,1
2017-02-14,3
2017-02-15,3
2017-02-16,2
2017-02-17,2
2017-02-18,5
2017-02-19,2
2017-02-21,3
2017-02-22,8
2017-02-25,1
2017-02-26,1
2017-02-28,3
2017-03-01,2
2017-03-02,5
2017-03-03,1
2017-03-04,3
2017-03-05,2
2017-03-06,1
2017-03-07,1
2017-03-08,2
2017-03-09,6
2017-03-10,4
2017-03-12,2
2017-03-13,2
2017-03-14,3
2017-03-15,2
2017-03-16,4
2017-03-17,6
2017-03-18,3
2017-03-19,4
2017-03-20,2
2017-03-21,2
2017-03-23,4
2017-03-24,3
2017-03-25,3
2017-03-26,2
2017-03-27,5
2017-03-28,4
2017-03-29,4
2017-03-30,1
2017-03-31,5
2017-04-01,4
2017-04-02,3
2017-04-03,7
2017-04-04,3
2017-04-05,4
2017-04-06,2
2017-04-07,6
2017-04-08,3
2017-04-09,3
2017-04-10,1
2017-04-11,1
2017-04-12,4
2017-04-15,4
2017-04-16,2
2017-04-17,3
2017-04-18,2
2017-04-19,1
2017-04-20,4
2017-04-21,2
2017-04-22,5
2017-04-23,2
2017-04-24,2
2017-04-25,1
2017-04-26,1
2017-04-27,2
2017-04-28,3
2017-04-29,2
2017-04-30,1
2017-05-02,1
2017-05-03,2
2017-05-04,2
2017-05-05,4
2017-05-06,3
2017-05-07,3
2017-05-08,7
2017-05-09,3
2017-05-10,5
2017-05-11,1
2017-05-12,1
2017-05-13,4
2017-05-14,2
2017-05-15,4
2017-05-16,3
2017-05-17,2
2017-05-18,1
2017-05-19,1
2017-05-20,1
2017-05-21,1
2017-05-22,2
2017-05-23,5
2017-05-24,4
2017-05-25,2
2017-05-26,3
2017-05-27,2
2017-05-28,2
2017-05-29,3
2017-05-30,1
2017-05-31,3
2017-06-01,4
2017-06-02,2
2017-06-03,4
2017-06-06,1
2017-06-07,3
2017-06-08,4
2017-06-09,5
2017-06-10,1
2017-06-11,1
2017-06-12,2
2017-06-13,4
2017-06-14,5
2017-06-15,17
2017-06-16,2
2017-06-17,4
2017-06-19,3
2017-06-20,4
2017-06-21,7
2017-06-22,5
2017-06-23,4
2017-06-24,2
2017-06-25,5
2017-06-26,1
2017-06-27,2
2017-06-28,1
2017-06-29,6
2017-06-30,1
2017-07-01,1
2017-07-03,3
2017-07-04,2
2017-07-05,1
2017-07-06,8
2017-07-07,5
2017-07-08,4
2017-07-09,1
2017-07-10,4
2017-07-11,2
2017-07-12,2
2017-07-13,1
2017-07-14,5
2017-07-16,1
2017-07-17,3
2017-07-18,2
2017-07-19,5
2017-07-20,16
2017-07-21,6
2017-07-22,1
2017-07-23,1
2017-07-25,3
2017-07-26,3
2017-07-28,2
2017-07-29,2
2017-07-30,2
2017-07-31,2
2017-08-01,1
2017-08-02,4
2017-08-04,4
2017-08-06,4
2017-08-07,1
2017-08-08,4
2017-08-09,2
2017-08-10,2
2017-08-11,1
2017-08-13,3
2017-08-14,6
2017-08-15,3
2017-08-16,3
2017-08-17,4
2017-08-18,1
2017-08-19,4
2017-08-20,2
2017-08-21,4
2017-08-22,5
2017-08-24,4
2017-08-25,2
2017-08-26,1
2017-08-27,2
2017-08-28,7
2017-08-29,5
2017-08-30,1
2017-08-31,4
2017-09-01,8
2017-09-02,6
2017-09-03,2
2017-09-04,4
2017-09-05,13
2017-09-06,4
2017-09-07,6
2017-09-08,8
2017-09-09,3
2017-09-10,4
2017-09-11,8
2017-09-12,5
2017-09-13,6
2017-09-14,4
2017-09-15,6
2017-09-16,5
2017-09-17,5
2017-09-18,7
2017-09-19,11
2017-09-20,6
2017-09-21,14
2017-09-22,6
2017-09-23,9
2017-09-24,10
2017-09-25,6
2017-09-26,11
2017-09-27,11
2017-09-28,9
2017-09-29,9
2017-09-30,6
2017-10-01,1
2017-10-02,2
2017-10-03,21
2017-10-04,10
2017-10-05,9
2017-10-06,4
2017-10-07,8
2017-10-08,6
2017-10-09,6
2017-10-10,11
2017-10-11,11
2017-10-12,6
2017-10-13,3
2017-10-14,5
2017-10-15,6
2017-10-16,17
2017-10-17,9
2017-10-18,19
2017-10-19,45
2017-10-20,12
2017-10-21,10
2017-10-22,8
2017-10-23,7
2017-10-24,17
2017-10-25,17
2017-10-26,21
2017-10-27,14
2017-10-28,5
2017-10-29,8
2017-10-30,19
2017-10-31,16
2017-11-01,8
2017-11-02,20
2017-11-03,15
2017-11-04,5
2017-11-05,7
2017-11-06,4
2017-11-07,14
2017-11-08,9
2017-11-09,10
2017-11-10,9
2017-11-11,6
2017-11-12,10
2017-11-13,4
2017-11-14,8
2017-11-15,15
2017-11-16,9
2017-11-17,8
2017-11-18,4
2017-11-19,3
2017-11-20,9
2017-11-21,16
2017-11-22,11
2017-11-23,7
2017-11-24,8
2017-11-25,5
2017-11-26,3
2017-11-27,5
2017-11-28,13
2017-11-29,17
2017-11-30,6
2017-12-01,11
2017-12-02,10
2017-12-03,5
2017-12-04,13
2017-12-05,21
2017-12-06,25
2017-12-07,17
2017-12-08,8
2017-12-09,7
2017-12-10,5
2017-12-11,34
2017-12-12,15
2017-12-13,7
2017-12-14,30
2017-12-15,9
2017-12-16,10
2017-12-17,10
2017-12-18,8
2017-12-19,13
2017-12-20,11
2017-12-21,8
2017-12-22,16
2017-12-23,12
2017-12-24,9
2017-12-25,18
2017-12-26,15
2017-12-27,22
2017-12-28,14
2017-12-29,7
2017-12-30,7
2017-12-31,4
