date,posts_count
2015-12-31,1
2016-07-19,1
2016-07-20,1
2016-07-21,1
2016-07-30,1
2016-08-15,1
2016-11-13,1
2016-11-15,4
2016-11-16,1
2016-11-17,3
2016-11-20,1
2016-11-21,1
2016-11-22,2
2016-11-23,7
2016-11-24,1
2016-11-25,1
2016-11-26,1
2016-11-27,1
2016-11-28,1
2016-11-29,1
2016-11-30,5
2016-12-01,3
2016-12-04,3
2016-12-05,2
2016-12-06,1
2016-12-07,1
2016-12-08,1
2016-12-11,1
2016-12-12,4
2016-12-13,1
2016-12-14,3
2016-12-15,2
2016-12-16,2
2016-12-17,2
2016-12-19,1
2016-12-21,2
2016-12-22,3
2016-12-23,2
2016-12-25,2
2016-12-27,1
2016-12-28,1
2016-12-29,5
2016-12-30,1
2017-01-04,1
2017-01-05,2
2017-01-06,2
2017-01-10,1
2017-01-11,2
2017-01-12,6
2017-01-13,4
2017-01-14,8
2017-01-15,2
2017-01-16,4
2017-01-17,5
2017-01-18,4
2017-01-20,3
2017-01-21,1
2017-01-22,1
2017-01-23,2
2017-01-24,1
2017-01-25,4
2017-01-26,7
2017-01-27,3
2017-01-28,3
2017-01-29,5
2017-01-30,2
2017-01-31,1
2017-02-02,1
2017-02-03,1
2017-02-05,4
2017-02-06,3
2017-02-07,4
2017-02-08,1
2017-02-09,9
2017-02-10,2
2017-02-11,1
2017-02-13,1
2017-02-14,3
2017-02-15,5
2017-02-16,3
2017-02-17,2
2017-02-18,5
2017-02-19,2
2017-02-21,3
2017-02-22,7
2017-02-24,1
2017-02-25,1
2017-02-26,1
2017-02-28,3
2017-03-01,2
2017-03-02,5
2017-03-03,3
2017-03-04,3
2017-03-05,2
2017-03-06,1
2017-03-07,1
2017-03-08,2
2017-03-09,6
2017-03-10,4
2017-03-12,2
2017-03-13,2
2017-03-14,3
2017-03-15,2
2017-03-16,4
2017-03-17,6
2017-03-18,4
2017-03-19,4
2017-03-20,1
2017-03-21,2
2017-03-23,4
2017-03-24,3
2017-03-25,4
2017-03-26,1
2017-03-27,5
2017-03-28,4
2017-03-29,3
2017-03-30,1
2017-03-31,5
2017-04-01,4
2017-04-02,3
2017-04-03,7
2017-04-04,3
2017-04-05,3
