term,before_n,after_n,before_negative,after_negative,delta_negative
kreml,18967,1406,0.49770654294300626,0.3399715504978663,-0.15773499244513994
peskov,12165,1026,0.3062063296341965,0.3586744639376218,0.05246813430342534
rkn_abbr,638,508,0.5721003134796239,0.7204724409448819,0.14837212746525807
medvedev,7722,426,0.5287490287490287,0.5469483568075117,0.01819932805848301
roskomnadzor,1696,419,0.6303066037735849,0.6109785202863962,-0.01932808348718873
sovbez,6301,317,0.42469449293762895,0.4479495268138801,0.023255033876251163
mincifry,1195,275,0.2100418410041841,0.3890909090909091,0.179049068086725
svintsov,47,152,0.5531914893617021,0.6842105263157895,0.13101903695408734
shadaev,296,126,0.1858108108108108,0.4444444444444444,0.2586336336336336
genprok,2253,120,0.7825122059476254,0.7333333333333333,-0.0491788726142921
mishustin,3160,115,0.12056962025316456,0.30434782608695654,0.18377820583379198
adm_prezidenta,2469,109,0.30498177399756987,0.3394495412844037,0.03446776728683382
kabmin,2197,78,0.271279016841147,0.3076923076923077,0.036413290851160685
patrushev,1530,73,0.5071895424836601,0.5616438356164384,0.054454293132778275
volodin,2773,68,0.4547421565091958,0.5294117647058824,0.07466960819668655
kirienko,1750,64,0.18742857142857142,0.40625,0.21882142857142858
fas,150,61,0.5266666666666666,0.5409836065573771,0.014316939890710478
matvienko,856,57,0.35514018691588783,0.5789473684210527,0.22380718150516482
boyarsky,65,57,0.3384615384615385,0.5087719298245614,0.17031039136302295
gorelkin,214,36,0.3925233644859813,0.6388888888888888,0.24636552440290754
rkn_infra,25,19,0.4,0.631578947368421,0.231578947368421
mizulina,360,15,0.7166666666666667,0.6666666666666666,-0.050000000000000044
ap_abbr,292,11,0.4897260273972603,0.9090909090909091,0.41936488169364877
klishas,428,10,0.4439252336448598,0.5,0.05607476635514019
vaino,58,3,0.1724137931034483,1.0,0.8275862068965517
