topic_id,before_n,after_n,before_share,after_share,delta_share,abs_delta_share,topic_name,scenario,before_start,before_end,after_start,after_end,n_days_after
4,637,456,0.010573667087178806,0.08360836083608361,0.07303469374890481,0.07303469374890481,4_telegram россии_мессенджер_мессенджеры_телеграм,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
-1,34028,3380,0.5648363322488547,0.6197286395306197,0.054892307281765085,0.054892307281765085,-1_украину_власти_россию_переговоры,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
0,3368,178,0.05590598233849014,0.03263659699303264,-0.0232693853454575,0.0232693853454575,0_российские войска_беспилотников_дронов_военные,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
15,210,137,0.0034858243144545516,0.025119178584525118,0.021633354270070567,0.021633354270070567,15_израилем_иран_ирану_израиль,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
1,2318,97,0.03847686076621738,0.017785111844517785,-0.020691748921699598,0.020691748921699598,1_провел совещание_совещание_совещание членами_совета безопасности,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
68,20,81,0.00033198326804329063,0.01485148514851485,0.014519501880471561,0.014519501880471561,68_депутата_удалить_депутату_депутат,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
2,1539,64,0.025546112475931214,0.011734506784011734,-0.01381160569191948,0.01381160569191948,2_зампред рф_зампред россии_заявил зампред_дмитрий прокомментировал,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
3,1081,24,0.017943695637739857,0.0044004400440044,-0.013543255593735457,0.013543255593735457,3_правительство рф_правительства_премьер министр_председатель правительства,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
9,422,112,0.007004846955713432,0.020535386872020535,0.013530539916307103,0.013530539916307103,9_персональных данных_персональных_информационной безопасности_данных,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
5,949,16,0.01575260606865414,0.0029336266960029336,-0.012818979372651206,0.012818979372651206,5_спикер госдумы_заявил спикер_госдумы вячеслав_спикера,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
6,860,21,0.014275280525861496,0.0038503850385038503,-0.010424895487357646,0.010424895487357646,6_первый замглавы_замруководителя рф_первым заместителем_замруководителя,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
91,13,53,0.0002157891242281389,0.009717638430509717,0.009501849306281578,0.009501849306281578,91_невозможно_telegram_телеграме_фронте,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
112,9,43,0.00014939247061948079,0.007884121745507884,0.007734729274888403,0.007734729274888403,112_переговорах украиной_переговоры украине_переговоров украине_переговоров украиной,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
12,458,0,0.007602416838191355,0.0,-0.007602416838191355,0.007602416838191355,12_заявил секретарь_безопасности россии_секретарь россии_будут выполнены,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
57,72,41,0.0011951397649558463,0.007517418408507517,0.006322278643551671,0.006322278643551671,57_ополчения_снят_фильмов_военкоров,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
49,93,40,0.0015437221964013014,0.007334066740007334,0.005790344543606033,0.005790344543606033,49_флота_флот_помощник россии_угроз,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
13,328,56,0.005444525595909966,0.010267693436010267,0.0048231678401003016,0.0048231678401003016,13_имущества_изъяли_имущество_собственности,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
10,478,19,0.007934400106234646,0.0034836817015034835,-0.004450718404731162,0.004450718404731162,10_мигрантам_миграционной политики_мигранты_мигрантами,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
14,363,9,0.006025496314985725,0.0016501650165016502,-0.004375331298484075,0.004375331298484075,14_движение ветераны_движения ветераны_ветераны_обратились,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
17,294,5,0.004880154040236372,0.0009167583425009168,-0.003963395697735455,0.003963395697735455,17_переговорам украине_переговорах украиной_переговоров россии_переговоров украиной,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
23,229,0,0.0038012084190956774,0.0,-0.0038012084190956774,0.0038012084190956774,23_пострадавших_обстрелов_обстрела_донецка,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
22,229,1,0.0038012084190956774,0.00018335166850018335,-0.003617856750595494,0.003617856750595494,22_молдавии_заседание_отставку_протестов,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
34,186,0,0.003087444392802603,0.0,-0.003087444392802603,0.003087444392802603,34_зерновой сделки_прекращены_зерновых_зерновой,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
61,87,24,0.0014441272159883142,0.0044004400440044,0.0029563128280160863,0.0029563128280160863,61_перемирие_прекращения огня_перемирия_российская сторона,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
32,188,1,0.0031206427196069316,0.00018335166850018335,-0.0029372910511067485,0.0029372910511067485,32_кремлём_беспилотника_беспилотников_беспилотниками,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
30,193,2,0.0032036385366177545,0.0003667033370003667,-0.002836935199617388,0.002836935199617388,30_нежелательной_экстремистской организацией_антироссийской_террористической организацией,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
35,165,0,0.0027388619613571475,0.0,-0.0027388619613571475,0.0027388619613571475,35_спецоперации украине_операции украине_спецоперация_военная операция,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
111,35,18,0.0005809707190757586,0.0033003300330033004,0.0027193593139275417,0.0027193593139275417,111_прокуратуры_генеральной прокуратуры_заявления россии_правопорядка,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
75,66,20,0.001095544784542859,0.003667033370003667,0.002571488585460808,0.002571488585460808,75_цензуры_цензуре_telegram_телеграм,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
25,220,6,0.003651815948476197,0.0011001100110011,-0.002551705937475097,0.002551705937475097,25_дорогие друзья_наших бойцов_нашей армии_подписчикам,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
40,151,0,0.0025064736737268442,0.0,-0.0025064736737268442,0.0025064736737268442,40_мобилизации_мобилизацию_мобилизация_мобилизовать,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
37,131,25,0.0021744904056835534,0.004583791712504583,0.00240930130682103,0.00240930130682103,37_сервисы_сервисов_интернет_интернета,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
42,145,0,0.002406878693313857,0.0,-0.002406878693313857,0.002406878693313857,42_заблокировали_заблокированы_заблокировал_заблокирован,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
31,189,4,0.003137241883009096,0.0007334066740007334,-0.0024038352090083627,0.0024038352090083627,31_блогеров_подписчиков_блогеры_законопроект,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
33,185,4,0.0030708452294004383,0.0007334066740007334,-0.002337438555399705,0.002337438555399705,33_резолюцию_россию_резолюция_резолюции,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
36,162,2,0.002689064471150654,0.0003667033370003667,-0.0023223611341502874,0.0023223611341502874,36_секретаря рф_назначен_заместителя_заместителем,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
46,137,0,0.002274085386096541,0.0,-0.002274085386096541,0.002274085386096541,46_подпишут_подписания_состоится_подписание,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
27,203,6,0.0033696301706394,0.0011001100110011,-0.0022695201596382997,0.0022695201596382997,27_си цзиньпином_цзиньпином_россия китай_си цзиньпин,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
21,235,9,0.003900803399508665,0.0016501650165016502,-0.0022506383830070147,0.0022506383830070147,21_церемонию_ветеранов_движение ветераны_церемония,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
47,135,0,0.0022408870592922118,0.0,-0.0022408870592922118,0.0022408870592922118,47_си цзиньпином_цзиньпином_цзиньпин_россия китай,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
28,196,6,0.003253436026824248,0.0011001100110011,-0.002153326015823148,0.002153326015823148,28_отставке_отставки_уволил_отставку,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
44,139,1,0.0023072837129008697,0.00018335166850018335,-0.0021239320444006865,0.0021239320444006865,44_проинформировал_обстреле_стрельбы_глава государства,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
8,677,50,0.011237633623265388,0.009167583425009167,-0.002070050198256221,0.002070050198256221,8_украинскому урегулированию_переговоры_переговоров_переговорах,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
48,132,1,0.002191089569085718,0.00018335166850018335,-0.002007737900585535,0.002007737900585535,48_азербайджану_задержали_азербайджан_властей,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
43,141,2,0.002340482039705199,0.0003667033370003667,-0.001973778702704832,0.001973778702704832,43_белоруссией_белоруссию_белоруссия_белоруссии,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
54,118,0,0.0019587012814554147,0.0,-0.0019587012814554147,0.0019587012814554147,54_украина new_militarycolumnist_секретарь снбо_new_militarycolumnist_данилов,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
38,150,3,0.0024898745103246796,0.00055005500550055,-0.0019398195048241297,0.0019398195048241297,38_ввели санкции_новые санкции_санкциях_санкции отношении,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
18,282,15,0.004680964079410398,0.0027502750275027505,-0.0019306890519076472,0.0019306890519076472,18_святой_русского народа_русского_русское,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
55,115,0,0.001908903791248921,0.0,-0.001908903791248921,0.001908903791248921,55_министром_министров_пост министра_вице премьер,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
45,137,2,0.002274085386096541,0.0003667033370003667,-0.0019073820490961742,0.0019073820490961742,45_школьников_школьники_напали_справедливости,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
52,122,1,0.0020250979350640726,0.00018335166850018335,-0.0018417462665638892,0.0018417462665638892,52_рублей_идентичности_символа_русские,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
41,147,4,0.002440077020118186,0.0007334066740007334,-0.0017066703461174524,0.0017066703461174524,41_корея_переговоры_ходе визита_кореи,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
102,44,13,0.0007303631896952394,0.0023835716905023837,0.0016532085008071442,0.0016532085008071442,102_единой россии_партии единая_единая россия_партию,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
60,110,1,0.0018259079742380985,0.00018335166850018335,-0.0016425563057379151,0.0016425563057379151,60_youtube_цензуры_ютуб_цензура,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
70,97,0,0.0016101188500099596,0.0,-0.0016101188500099596,0.0016101188500099596,70_эфире_вещает_соловьёв live_трансляция,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
63,107,1,0.0017761104840316047,0.00018335166850018335,-0.0015927588155314214,0.0015927588155314214,63_кремлём_турцией_конфликта_турецких,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
64,106,1,0.0017595113206294404,0.00018335166850018335,-0.001576159652129257,0.001576159652129257,64_переговоров_провел телефонный_поговорил_телефонный разговор,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
39,147,5,0.002440077020118186,0.0009167583425009168,-0.0015233186776172692,0.0015233186776172692,39_газа европу_российского газа_поставок газа_природного газа,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
26,212,11,0.0035190226412588808,0.002016868353502017,-0.0015021542877568638,0.0015021542877568638,26_армению_армения_армении_пашиняна,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
20,220,28,0.003651815948476197,0.005133846718005134,0.0014820307695289367,0.0014820307695289367,20_сказала_спикера_призвала_спикер совета,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
72,88,0,0.0014607263793904788,0.0,-0.0014607263793904788,0.0014607263793904788,72_мечети_мусульман_мигрантов_религия,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
74,88,0,0.0014607263793904788,0.0,-0.0014607263793904788,0.0014607263793904788,74_российских войск_вооруженными силами_сил украины_боевиков,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
53,102,17,0.001693114667020782,0.0031169783645031168,0.0014238636974823347,0.0014238636974823347,53_цены нефть_цен нефть_российскую нефть_нефть,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
76,84,0,0.0013943297257818206,0.0,-0.0013943297257818206,0.0013943297257818206,76_отношения россии_обеспечить безопасность_обеспокоен_угрозах,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
62,106,2,0.0017595113206294404,0.0003667033370003667,-0.0013928079836290736,0.0013928079836290736,62_возбуждено уголовное_уголовное дело_мятежа_это преступление,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
81,78,0,0.0012947347453688334,0.0,-0.0012947347453688334,0.0012947347453688334,81_рекламе_рекламу_реклама_нарушении,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
66,100,2,0.001659916340216453,0.0003667033370003667,-0.0012932130032160863,0.0012932130032160863,66_антироссийских_активистов_активисты_оппозиционеров,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
85,71,0,0.0011785406015536817,0.0,-0.0011785406015536817,0.0011785406015536817,85_замминистра обороны_министра обороны_министром обороны_министр обороны,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
11,449,47,0.007453024367571875,0.008617528419508618,0.0011645040519367433,0.0011645040519367433,11_состоялся телефонный_провел телефонный_переговоры_переговоров,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
87,70,0,0.0011619414381515171,0.0,-0.0011619414381515171,0.0011619414381515171,87_трамп заявил_трамп назвал_подводных_подводные,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
88,69,0,0.0011453422747493525,0.0,-0.0011453422747493525,0.0011453422747493525,88_присутствовали_командиров_происходило_встрече,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
82,76,1,0.0012615364185645044,0.00018335166850018335,-0.001078184750064321,0.001078184750064321,82_воевал_служил_сына_россии рассказал,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
89,57,11,0.0009461523139233783,0.002016868353502017,0.0010707160395786387,0.0010707160395786387,89_подпишись официальный_канал max_официальный канал_подписаться канал,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
93,64,0,0.00106234645773853,0.0,-0.00106234645773853,0.00106234645773853,93_переговоров_условились_время переговоров_обсуждались,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
83,75,1,0.0012449372551623398,0.00018335166850018335,-0.0010615855866621564,0.0010615855866621564,83_экстренное заседание_сербия_сербии_совета безопасности,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
73,86,2,0.0014275280525861496,0.0003667033370003667,-0.0010608247155857828,0.0010608247155857828,73_индию_индией_премьер министра_индия,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
16,315,23,0.005228736471681828,0.004217088375504217,-0.0010116480961776106,0.0010116480961776106,16_телеканале россия_подписывайтесь канал_москва телеканале_телеканалов,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
19,248,17,0.004116592523736804,0.0031169783645031168,-0.0009996141592336868,0.0009996141592336868,19_русских_каналов_каналы_русские,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
100,58,0,0.0009627514773255428,0.0,-0.0009627514773255428,0.0009627514773255428,100_грузию_грузии_грузия_оппозиции,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
99,58,0,0.0009627514773255428,0.0,-0.0009627514773255428,0.0009627514773255428,99_самолета_полет_прибыл москву_кремлёвского пула,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
97,58,0,0.0009627514773255428,0.0,-0.0009627514773255428,0.0009627514773255428,97_уровень доверия_доверяют_доверии_доверия,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
78,80,2,0.0013279330721731625,0.0003667033370003667,-0.0009612297351727958,0.0009612297351727958,78_российские активы_российских активов_санкций_конфисковать,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
79,79,2,0.001311333908770998,0.0003667033370003667,-0.0009446305717706312,0.0009446305717706312,79_цензуры_цензура_youtube_русофобию,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
104,56,0,0.0009295531505212137,0.0,-0.0009295531505212137,0.0009295531505212137,104_шутка_события_поделился_человек,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
90,67,1,0.0011121439479450236,0.00018335166850018335,-0.0009287922794448402,0.0009287922794448402,90_министр цифрового_меры поддержки_мер поддержки_министра обороны,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
