scenario,aggregate,before_n,after_n,before_negative,before_neutral,before_positive,after_negative,after_neutral,after_positive,delta_negative,delta_neg_ci_lo,delta_neg_ci_hi,chi2,chi2_pvalue
v1_full_before,A,4346,1254,0.27496548550391164,0.7195121951219512,0.005522319374137137,0.3708133971291866,0.620414673046252,0.008771929824561403,0.09584791162527495,0.065953477174927,0.1254166143719756,45.510618617048074,1.3106741477107064e-10
v1_full_before,B2,43788,2834,0.22592947839590755,0.7404083310496027,0.03366219055448982,0.1863091037402964,0.7798165137614679,0.03387438249823571,-0.039620374655611135,-0.05434583678310436,-0.02476824323701436,24.261687406649614,5.390654761549098e-06
v1_full_before,C,2143,890,0.39150723285114325,0.5986934204386374,0.00979934671021932,0.37865168539325844,0.6168539325842697,0.0044943820224719105,-0.012855547457884808,-0.050316080051592084,0.02537809277134331,2.7584115314300863,0.25177844474186223
v1_full_before,GOV,5133,189,0.08143385934151569,0.8612896941359829,0.05727644652250146,0.14285714285714285,0.8042328042328042,0.05291005291005291,0.06142328351562716,0.011825133975922983,0.11238515797253376,8.976537177927531,0.011240088184359696
v1_full_before,PARL,3567,125,0.16568544995794784,0.8023549201009251,0.031959629941127,0.232,0.736,0.032,0.06631455004205217,-0.009206391925988228,0.1415696663863187,3.827150928273812,0.14755187588239893
v1_full_before,AGENCIES,2401,176,0.42648896293211164,0.5726780508121616,0.0008329862557267805,0.36363636363636365,0.6363636363636364,0.0,-0.06285259929574799,-0.13588324940365754,0.008096354265268245,2.8335419084158193,0.2424957840278459
v2_symmetric,A,342,1254,0.28362573099415206,0.7105263157894737,0.005847953216374269,0.3708133971291866,0.620414673046252,0.008771929824561403,0.08718766613503454,0.034556087187666173,0.14167995746943116,9.49380588053859,0.008678531555378816
v2_symmetric,B2,3236,2834,0.1841779975278121,0.7731767614338689,0.04264524103831891,0.1863091037402964,0.7798165137614679,0.03387438249823571,0.0021311062124843017,-0.017731939899838876,0.021851809608384135,3.137785724381584,0.2082756445976207
v2_symmetric,C,215,890,0.3813953488372093,0.6093023255813953,0.009302325581395349,0.37865168539325844,0.6168539325842697,0.0044943820224719105,-0.0027436634439508834,-0.07747582963156519,0.06752417036843472,0.7567029417077793,0.6849897044355971
v2_symmetric,GOV,167,189,0.1497005988023952,0.7964071856287425,0.05389221556886228,0.14285714285714285,0.8042328042328042,0.05291005291005291,-0.006843455945252347,-0.07980863669486424,0.06502312834648148,0.03681134186439383,0.9817626789823921
v2_symmetric,PARL,112,125,0.17857142857142858,0.7767857142857143,0.044642857142857144,0.232,0.736,0.032,0.053428571428571436,-0.0448,0.15500000000000003,1.1943505057250363,0.5503640817930997
v2_symmetric,AGENCIES,109,176,0.4954128440366973,0.5045871559633027,0.0,0.36363636363636365,0.6363636363636364,0.0,-0.13177648040033363,-0.2519286905754796,-0.014230608840700598,4.290086586335605,0.03833521319650927
