aggregate,topic_id,topic_name,before_n,after_n,before_share,after_share,delta_share,abs_delta_share
A,4,4_telegram россии_мессенджер_мессенджеры_телеграм,339.0,218.0,0.07800276115968707,0.17384370015948963,0.09584093899980256,0.09584093899980256
A,68,68_депутата_удалить_депутату_депутат,16.0,80.0,0.0036815462494247586,0.06379585326953748,0.060114307020112716,0.060114307020112716
A,-1,-1_украину_власти_россию_переговоры,2437.0,775.0,0.5607455131155085,0.6180223285486444,0.0572768154331359,0.0572768154331359
A,31,31_блогеров_подписчиков_блогеры_законопроект,183.0,4.0,0.04210768522779568,0.003189792663476874,-0.0389178925643188,0.0389178925643188
A,14,14_движение ветераны_движения ветераны_ветераны_обратились,144.0,4.0,0.03313391624482283,0.003189792663476874,-0.029944123581345954,0.029944123581345954
A,42,42_заблокировали_заблокированы_заблокировал_заблокирован,115.0,0.0,0.02646111366774045,0.0,-0.02646111366774045,0.02646111366774045
A,9,9_персональных данных_персональных_информационной безопасности_данных,391.0,94.0,0.08996778647031753,0.07496012759170653,-0.015007658878610997,0.015007658878610997
A,90,90_министр цифрового_меры поддержки_мер поддержки_министра обороны,66.0,1.0,0.015186378278877128,0.0007974481658692185,-0.01438893011300791,0.01438893011300791
A,5,5_спикер госдумы_заявил спикер_госдумы вячеслав_спикера,52.0,1.0,0.011965025310630465,0.0007974481658692185,-0.011167577144761246,0.011167577144761246
A,94,94_google_нарушают_сервисов_грозят,47.0,1.0,0.010814542107685227,0.0007974481658692185,-0.010017093941816008,0.010017093941816008
A,37,37_сервисы_сервисов_интернет_интернета,105.0,21.0,0.024160147261849976,0.01674641148325359,-0.0074137357785963864,0.0074137357785963864
A,10,10_мигрантам_миграционной политики_мигранты_мигрантами,34.0,1.0,0.007823285780027611,0.0007974481658692185,-0.007025837614158393,0.007025837614158393
A,19,19_русских_каналов_каналы_русские,75.0,13.0,0.017257248044178556,0.01036682615629984,-0.006890421887878716,0.006890421887878716
A,60,60_youtube_цензуры_ютуб_цензура,23.0,0.0,0.00529222273354809,0.0,-0.00529222273354809,0.00529222273354809
A,46,46_подпишут_подписания_состоится_подписание,21.0,0.0,0.0048320294523699955,0.0,-0.0048320294523699955,0.0048320294523699955
B2,-1,-1_украину_власти_россию_переговоры,25337.0,1765.0,0.5786288480862337,0.6227946365561045,0.04416578846987074,0.04416578846987074
B2,0,0_российские войска_беспилотников_дронов_военные,2962.0,122.0,0.06764410340732621,0.043048694424841216,-0.024595408982484995,0.024595408982484995
B2,15,15_израилем_иран_ирану_израиль,163.0,71.0,0.0037224810450351693,0.025052928722653495,0.021330447677618325,0.021330447677618325
B2,1,1_провел совещание_совещание_совещание членами_совета безопасности,2309.0,97.0,0.052731341920160775,0.034227240649259,-0.018504101270901775,0.018504101270901775
B2,91,91_невозможно_telegram_телеграме_фронте,13.0,50.0,0.0002968849913218233,0.017642907551164433,0.01734602255984261,0.01734602255984261
B2,112,112_переговорах украиной_переговоры украине_переговоров украине_переговоров украиной,9.0,43.0,0.00020553576322280076,0.015172900494001412,0.014967364730778612,0.014967364730778612
B2,2,2_зампред рф_зампред россии_заявил зампред_дмитрий прокомментировал,1538.0,64.0,0.035123778204074176,0.022582921665490474,-0.012540856538583701,0.012540856538583701
