term,before_n,after_n,before_negative,after_negative,delta_negative
kreml,18967,1406,0.27199873464438235,0.15860597439544807,-0.11339276024893427
peskov,12165,1026,0.13045622688039457,0.16764132553606237,0.0371850986556678
rkn_abbr,638,508,0.3887147335423197,0.4822834645669291,0.09356873102460939
medvedev,7722,426,0.28256928256928254,0.2793427230046948,-0.0032265595645877276
roskomnadzor,1696,419,0.3738207547169811,0.3460620525059666,-0.027758702211014508
sovbez,6301,317,0.20028566894143787,0.1861198738170347,-0.014165795124403163
mincifry,1195,275,0.12468619246861924,0.2109090909090909,0.08622289844047167
svintsov,47,152,0.2978723404255319,0.4144736842105263,0.11660134378499443
shadaev,296,126,0.08445945945945946,0.21428571428571427,0.12982625482625482
genprok,2253,120,0.44252108300044385,0.39166666666666666,-0.050854416333777186
mishustin,3160,115,0.05348101265822785,0.12173913043478261,0.06825811777655477
adm_prezidenta,2469,109,0.1421628189550425,0.13761467889908258,-0.004548140055959937
kabmin,2197,78,0.11561219845243514,0.16666666666666666,0.05105446821423151
patrushev,1530,73,0.20784313725490197,0.1917808219178082,-0.016062315337093763
volodin,2773,68,0.16588532275513884,0.22058823529411764,0.0547029125389788
kirienko,1750,64,0.08971428571428572,0.1875,0.09778571428571428
fas,150,61,0.18666666666666668,0.2786885245901639,0.09202185792349724
matvienko,856,57,0.16004672897196262,0.24561403508771928,0.08556730611575666
boyarsky,65,57,0.06153846153846154,0.14035087719298245,0.0788124156545209
gorelkin,214,36,0.14953271028037382,0.5555555555555556,0.40602284527518173
rkn_infra,25,19,0.08,0.3157894736842105,0.2357894736842105
mizulina,360,15,0.41944444444444445,0.3333333333333333,-0.08611111111111114
ap_abbr,292,11,0.2568493150684932,0.6363636363636364,0.3795143212951432
klishas,428,10,0.17990654205607476,0.1,-0.07990654205607475
vaino,58,3,0.05172413793103448,0.0,-0.05172413793103448
