Topic,Words,Frequency,Timestamp
-1,"украину, украинских, украинские, украина, украины",1539,2022-02-24 00:00:00+00:00
0,"российские войска, украинских, украинские, украиной, украинцы",65,2022-02-24 00:00:00+00:00
1,"совещание, совещании, совещание членами, безопасности россии, проведет",103,2022-02-24 00:00:00+00:00
2,"смертной казни, смертную казнь, зампред рф, казнь, мораторий",49,2022-02-24 00:00:00+00:00
3,"меры поддержки, смогут получить, введут, компаниям, гранты",56,2022-02-24 00:00:00+00:00
4,"признана экстремистской, экстремистской, экстремистской организацией, соцсети, запретил",127,2022-02-24 00:00:00+00:00
5,"спикер госдумы, заявил спикер, председатель госдумы, депутатам, госдумы вячеслав",66,2022-02-24 00:00:00+00:00
7,"героя россии, героизм, героизма, героев, героя",7,2022-02-24 00:00:00+00:00
9,"информационной политике, рассматривают возможность, технологиям, ведомствами, предлагается",12,2022-02-24 00:00:00+00:00
10,"мигрантам, разумно, мигрантами, мигрантов, мигранты",1,2022-02-24 00:00:00+00:00
11,"эрдоган, переговоров, переговоры, эрдоганом, состоялся телефонный",25,2022-02-24 00:00:00+00:00
12,"ядерного оружия, ядерной войны, украиной, ядерного, киевскому режиму",7,2022-02-24 00:00:00+00:00
13,"незаконное, незаконной, прокуратура, законную, суде",2,2022-02-24 00:00:00+00:00
14,"цензуры, украинским, шоу, лидерам, выступать",1,2022-02-24 00:00:00+00:00
16,"интервью, министр финансов, эфире, интервью павлу, эксклюзивном интервью",9,2022-02-24 00:00:00+00:00
17,"отказалась, переговоров россии, переговоров украиной, переговоров украине, переговоров киевом",22,2022-02-24 00:00:00+00:00
19,"подписчиков, товарищи, наш канал, поддержали, телеграм канал",16,2022-02-24 00:00:00+00:00
20,"необходима, призвала, отметила, россия new_militarycolumnist, заявила",6,2022-02-24 00:00:00+00:00
21,"церемонию, церемония, ветераны россии, россией, ветераны",4,2022-02-24 00:00:00+00:00
23,"обстрела, обстрелов, ранения, ранены, пострадавших",9,2022-02-24 00:00:00+00:00
26,"миротворцев, прекращении огня, миротворческие, ситуация, сотрудничает",1,2022-02-24 00:00:00+00:00
27,"си цзиньпином, россия китай, цзиньпином, си цзиньпин, цзиньпин",3,2022-02-24 00:00:00+00:00
28,"власти, украины, украинской, украинской армии, обороны украины",7,2022-02-24 00:00:00+00:00
29,"компенсации, военнослужащим, украине будут, выплату, компенсация",1,2022-02-24 00:00:00+00:00
30,"русофобии, призываем, российской, российским, российских",4,2022-02-24 00:00:00+00:00
31,"требуется, телеграм, необходимые, нужно, действовать",1,2022-02-24 00:00:00+00:00
