Topic,Timestamp,Frequency,Words
-1,2022-02-24 00:00:00+00:00,1539,украину_власти_россию_переговоры
0,2022-02-24 00:00:00+00:00,65,российские войска_беспилотников_дронов_военные
1,2022-02-24 00:00:00+00:00,103,провел совещание_совещание_совещание членами_совета безопасности
2,2022-02-24 00:00:00+00:00,49,зампред рф_зампред россии_заявил зампред_дмитрий прокомментировал
3,2022-02-24 00:00:00+00:00,56,правительство рф_правительства_премьер министр_председатель правительства
4,2022-02-24 00:00:00+00:00,127,telegram россии_мессенджер_мессенджеры_телеграм
5,2022-02-24 00:00:00+00:00,66,спикер госдумы_заявил спикер_госдумы вячеслав_спикера
7,2022-02-24 00:00:00+00:00,7,героя россии_герой россии_мужество героизм_героям
9,2022-02-24 00:00:00+00:00,12,персональных данных_персональных_информационной безопасности_данных
10,2022-02-24 00:00:00+00:00,1,мигрантам_миграционной политики_мигранты_мигрантами
11,2022-02-24 00:00:00+00:00,25,состоялся телефонный_провел телефонный_переговоры_переговоров
12,2022-02-24 00:00:00+00:00,7,заявил секретарь_безопасности россии_секретарь россии_будут выполнены
13,2022-02-24 00:00:00+00:00,2,имущества_изъяли_имущество_собственности
14,2022-02-24 00:00:00+00:00,1,движение ветераны_движения ветераны_ветераны_обратились
16,2022-02-24 00:00:00+00:00,9,телеканале россия_подписывайтесь канал_москва телеканале_телеканалов
17,2022-02-24 00:00:00+00:00,22,переговорам украине_переговорах украиной_переговоров россии_переговоров украиной
19,2022-02-24 00:00:00+00:00,16,русских_каналов_каналы_русские
20,2022-02-24 00:00:00+00:00,6,сказала_спикера_призвала_спикер совета
21,2022-02-24 00:00:00+00:00,4,церемонию_ветеранов_движение ветераны_церемония
23,2022-02-24 00:00:00+00:00,9,пострадавших_обстрелов_обстрела_донецка
26,2022-02-24 00:00:00+00:00,1,армению_армения_армении_пашиняна
27,2022-02-24 00:00:00+00:00,3,си цзиньпином_цзиньпином_россия китай_си цзиньпин
28,2022-02-24 00:00:00+00:00,7,отставке_отставки_уволил_отставку
29,2022-02-24 00:00:00+00:00,1,поручений_поручения_ответственные_срок
30,2022-02-24 00:00:00+00:00,4,нежелательной_экстремистской организацией_антироссийской_террористической организацией
31,2022-02-24 00:00:00+00:00,1,блогеров_подписчиков_блогеры_законопроект
33,2022-02-24 00:00:00+00:00,6,резолюцию_россию_резолюция_резолюции
35,2022-02-24 00:00:00+00:00,36,спецоперации украине_операции украине_спецоперация_военная операция
36,2022-02-24 00:00:00+00:00,2,секретаря рф_назначен_заместителя_заместителем
37,2022-02-24 00:00:00+00:00,17,сервисы_сервисов_интернет_интернета
38,2022-02-24 00:00:00+00:00,45,ввели санкции_новые санкции_санкциях_санкции отношении
39,2022-02-24 00:00:00+00:00,7,газа европу_российского газа_поставок газа_природного газа
40,2022-02-24 00:00:00+00:00,1,мобилизации_мобилизацию_мобилизация_мобилизовать
42,2022-02-24 00:00:00+00:00,44,заблокировали_заблокированы_заблокировал_заблокирован
43,2022-02-24 00:00:00+00:00,11,белоруссией_белоруссию_белоруссия_белоруссии
44,2022-02-24 00:00:00+00:00,1,проинформировал_обстреле_стрельбы_глава государства
46,2022-02-24 00:00:00+00:00,1,подпишут_подписания_состоится_подписание
50,2022-02-24 00:00:00+00:00,2,лукашенко_александр лукашенко_россии белоруссии_белоруссию
51,2022-02-24 00:00:00+00:00,8,вооруженных сил_сил российской_беспилотных_сил украины
53,2022-02-24 00:00:00+00:00,18,цены нефть_цен нефть_российскую нефть_нефть
54,2022-02-24 00:00:00+00:00,12,украина new_militarycolumnist_секретарь снбо_new_militarycolumnist_данилов
58,2022-02-24 00:00:00+00:00,12,топливо_топлива_бензин_нефтепродуктов
60,2022-02-24 00:00:00+00:00,27,youtube_цензуры_ютуб_цензура
63,2022-02-24 00:00:00+00:00,3,кремлём_турцией_конфликта_турецких
64,2022-02-24 00:00:00+00:00,33,переговоров_провел телефонный_поговорил_телефонный разговор
66,2022-02-24 00:00:00+00:00,2,антироссийских_активистов_активисты_оппозиционеров
67,2022-02-24 00:00:00+00:00,2,флагом_флагами_международной арене_спортсменов
69,2022-02-24 00:00:00+00:00,1,ядерное оружие_применения ядерного_ядерного оружия_ядерное
70,2022-02-24 00:00:00+00:00,1,эфире_вещает_соловьёв live_трансляция
73,2022-02-24 00:00:00+00:00,2,индию_индией_премьер министра_индия
75,2022-02-24 00:00:00+00:00,1,цензуры_цензуре_telegram_телеграм
79,2022-02-24 00:00:00+00:00,9,цензуры_цензура_youtube_русофобию
80,2022-02-24 00:00:00+00:00,3,польшу_польши_польша_поляки
81,2022-02-24 00:00:00+00:00,5,рекламе_рекламу_реклама_нарушении
83,2022-02-24 00:00:00+00:00,2,экстренное заседание_сербия_сербии_совета безопасности
89,2022-02-24 00:00:00+00:00,1,подпишись официальный_канал max_официальный канал_подписаться канал
94,2022-02-24 00:00:00+00:00,8,google_нарушают_сервисов_грозят
97,2022-02-24 00:00:00+00:00,6,уровень доверия_доверяют_доверии_доверия
98,2022-02-24 00:00:00+00:00,6,отношений россии_оскорбления_отношения россии_отношений рф
101,2022-02-24 00:00:00+00:00,9,наши бойцы_мужества_бойцов_командира
108,2022-02-24 00:00:00+00:00,1,россии сообщили_россия планирует_никакой_никаких
112,2022-02-24 00:00:00+00:00,1,переговорах украиной_переговоры украине_переговоров украине_переговоров украиной
115,2022-02-24 00:00:00+00:00,7,цели будут_будут достигнуты_поставленных целей_спецоперация
119,2022-02-24 00:00:00+00:00,1,канцлера_украину_германией_канцлер
-1,2022-03-26 00:00:00+00:00,1227,украину_власти_россию_переговоры
0,2022-03-26 00:00:00+00:00,108,российские войска_беспилотников_дронов_военные
1,2022-03-26 00:00:00+00:00,53,провел совещание_совещание_совещание членами_совета безопасности
2,2022-03-26 00:00:00+00:00,64,зампред рф_зампред россии_заявил зампред_дмитрий прокомментировал
3,2022-03-26 00:00:00+00:00,59,правительство рф_правительства_премьер министр_председатель правительства
4,2022-03-26 00:00:00+00:00,3,telegram россии_мессенджер_мессенджеры_телеграм
5,2022-03-26 00:00:00+00:00,43,спикер госдумы_заявил спикер_госдумы вячеслав_спикера
6,2022-03-26 00:00:00+00:00,14,первый замглавы_замруководителя рф_первым заместителем_замруководителя
7,2022-03-26 00:00:00+00:00,10,героя россии_герой россии_мужество героизм_героям
8,2022-03-26 00:00:00+00:00,1,украинскому урегулированию_переговоры_переговоров_переговорах
9,2022-03-26 00:00:00+00:00,15,персональных данных_персональных_информационной безопасности_данных
10,2022-03-26 00:00:00+00:00,5,мигрантам_миграционной политики_мигранты_мигрантами
11,2022-03-26 00:00:00+00:00,8,состоялся телефонный_провел телефонный_переговоры_переговоров
12,2022-03-26 00:00:00+00:00,47,заявил секретарь_безопасности россии_секретарь россии_будут выполнены
13,2022-03-26 00:00:00+00:00,3,имущества_изъяли_имущество_собственности
14,2022-03-26 00:00:00+00:00,3,движение ветераны_движения ветераны_ветераны_обратились
15,2022-03-26 00:00:00+00:00,2,израилем_иран_ирану_израиль
16,2022-03-26 00:00:00+00:00,10,телеканале россия_подписывайтесь канал_москва телеканале_телеканалов
17,2022-03-26 00:00:00+00:00,14,переговорам украине_переговорах украиной_переговоров россии_переговоров украиной
19,2022-03-26 00:00:00+00:00,7,русских_каналов_каналы_русские
20,2022-03-26 00:00:00+00:00,4,сказала_спикера_призвала_спикер совета
23,2022-03-26 00:00:00+00:00,23,пострадавших_обстрелов_обстрела_донецка
26,2022-03-26 00:00:00+00:00,2,армению_армения_армении_пашиняна
29,2022-03-26 00:00:00+00:00,3,поручений_поручения_ответственные_срок
30,2022-03-26 00:00:00+00:00,19,нежелательной_экстремистской организацией_антироссийской_террористической организацией
33,2022-03-26 00:00:00+00:00,15,резолюцию_россию_резолюция_резолюции
35,2022-03-26 00:00:00+00:00,32,спецоперации украине_операции украине_спецоперация_военная операция
38,2022-03-26 00:00:00+00:00,9,ввели санкции_новые санкции_санкциях_санкции отношении
39,2022-03-26 00:00:00+00:00,80,газа европу_российского газа_поставок газа_природного газа
42,2022-03-26 00:00:00+00:00,32,заблокировали_заблокированы_заблокировал_заблокирован
43,2022-03-26 00:00:00+00:00,3,белоруссией_белоруссию_белоруссия_белоруссии
44,2022-03-26 00:00:00+00:00,8,проинформировал_обстреле_стрельбы_глава государства
46,2022-03-26 00:00:00+00:00,14,подпишут_подписания_состоится_подписание
48,2022-03-26 00:00:00+00:00,1,азербайджану_задержали_азербайджан_властей
50,2022-03-26 00:00:00+00:00,7,лукашенко_александр лукашенко_россии белоруссии_белоруссию
